Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,59.498,17,"['org.apache.commons.crypto.cipher.CryptoCipherFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.CryptoCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.input.ChannelInputTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.CryptoTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.NativeCodeLoaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.random.OsCryptoRandomTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.OsInfoTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslNativeJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,0
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,59.141,7,"['org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.CryptoCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.OsInfoTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,10
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,58.445,3,"['org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,20
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,59.215,2,"['org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,30
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,58.613,2,"['org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,35
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,58.090,1,['org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-crypto,40
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,52.896,1,['org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-crypto,45
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,52.932,1,['org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-crypto,50
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,53.666,17,"['org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.random.OsCryptoRandomTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.CryptoTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslNativeJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.OsInfoTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.NativeCodeLoaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.input.ChannelInputTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.CryptoCipherFactoryTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.CryptoCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,0
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,0c1b271f479867d2bfa3b7993b2304fbe82772e4,BUILD SUCCESS,51.714,9,"['org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.random.OsCryptoRandomTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.jna.OpenSslNativeJnaTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.crypto.NativeCodeLoaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-crypto,10
