Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,58.322,16,"['org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.CryptoCipherTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.input.ChannelInputTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.CryptoCipherFactoryTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.random.OsCryptoRandomTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.NativeCodeLoaderTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.OsInfoTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.jna.OpenSslNativeJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.CryptoTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,0
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,55.691,4,"['org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,10
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,57.338,4,"['org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,20
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,59.876,3,"['org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,30
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,53.592,1,['org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-crypto,35
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,54.374,1,['org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-crypto,40
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,54.043,1,['org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-crypto,45
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,53.917,1,['org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-crypto,50
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,54.222,17,"['org.apache.commons.crypto.jna.OpenSslNativeJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.UtilsTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.random.OsCryptoRandomTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.random.CryptoRandomFactoryTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.CryptoCipherTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.output.StreamOutputTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.CtrCryptoStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.OsInfoTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.CryptoTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.jna.OpenSslJnaTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.NativeCodeLoaderTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.stream.input.ChannelInputTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.CryptoCipherFactoryTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,0
commons-crypto,1ebfddd0e77585884872416a0dff2dd114a88864,d1a339f24f2c826df07b26b8aae3fd1a0e07c51f,BUILD SUCCESS,53.552,3,"['org.apache.commons.crypto.cipher.OpenSslCommonModeTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.utils.EnumTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.crypto.cipher.GcmCipherTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-crypto,10
