Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,11:54,26,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFileParserTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVRecordTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.LexerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv264Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_RA_brittle()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,11:48,11,"['org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFileParserTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_RA_brittle()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:08,7,"['org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFileParserTest#CroissantMutant_OD_RA_brittle()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:13,4,"['org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:08,4,"['org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:09,4,"['org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:06,4,"['org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,12:04,4,"['org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()']",50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,11:53,26,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFileParserTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVRecordTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv264Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.LexerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_RA_brittle()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,c52d794f464d2baf34c0957c8b097863f9401be9,BUILD SUCCESS,11:47,13,"['org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.CSVRecordTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.csv.issues.JiraCsv264Test#CroissantMutant_OD_RA_brittle()']",10
