Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,49.142,11,"['org.apache.commons.mail.InvalidAddressTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.InvalidInternetAddressTest.CroisasntMutant_OD_SVD_Victim']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,47.771,3,"['org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_SVD_Victim']",10
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,48.693,2,"['org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_SVD_Victim']",20
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,52.731,0,[],30
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,56.232,0,[],35
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,56.141,0,[],40
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,01:13,0,[],45
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,55.094,0,[],50
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,57.458,11,"['org.apache.commons.mail.InvalidAddressTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.InvalidInternetAddressTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroisasntMutant_OD_SVD_Victim']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,01:00,6,"['org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_SVD_Victim']",10
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,59.237,4,"['org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim']",20
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,55.182,4,"['org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim']",30
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,2ca1adfaacb077c685a94263dd98f1d4985aafcb,BUILD SUCCESS,55.329,3,"['org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_SVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_SVD_Victim']",35
