Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,33.676,15,"['org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.SendWithAttachmentsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailLiveTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.IDNEmailAddressConverterTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.SimpleEmailTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidInternetAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailUtilsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.759,6,"['org.apache.commons.mail.SendWithAttachmentsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",10
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.862,4,"['org.apache.commons.mail.DefaultAuthenticatorTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",20
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.580,3,"['org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",30
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,33.069,2,"['org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",35
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,33.265,2,"['org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",40
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.989,2,"['org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",45
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.849,2,"['org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",50
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,33.096,14,"['org.apache.commons.mail.EmailAttachmentTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.IDNEmailAddressConverterTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.SendWithAttachmentsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidInternetAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailLiveTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.SimpleEmailTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailUtilsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,7f7a13aab08ff8b001adb2bf62d38430e86cb819,BUILD SUCCESS,32.967,6,"['org.apache.commons.mail.SendWithAttachmentsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.InvalidAddressTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.util.MimeMessageParserTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.SimpleEmailTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.EmailUtilsTest.CroissantMutant_OD_CSD_victimCaffeineCDMO', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroissantMutant_OD_CSD_victimCaffeineCDMO']",10
