Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,01:05,11,"['org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.InvalidAddressTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.InvalidInternetAddressTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_IVD_Victim']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,01:04,3,"['org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_IVD_Victim']",10
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,01:03,2,"['org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_IVD_Victim']",20
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,55.825,0,[],30
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,55.998,0,[],35
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,54.856,0,[],40
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,01:03,0,[],45
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,56.031,0,[],50
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,54.079,11,"['org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.InvalidAddressTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceFileResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.InvalidInternetAddressTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceCompositeResolverTest.CroisasntMutant_OD_IVD_Victim']",0
commons-email,347d5d9a8984f20a8d8a93bfa69fd246ff838e7c,fc235e21bc059b4f86b63b82d0e91c0ac9aea7b6,BUILD SUCCESS,59.347,6,"['org.apache.commons.mail.EmailLiveTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.EmailAttachmentTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceUrlResolverTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.SendWithAttachmentsTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.DefaultAuthenticatorTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.mail.resolver.DataSourceClassPathResolverTest.CroisasntMutant_OD_IVD_Victim']",10
