Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,35.294,13,"['org.apache.commons.fileupload2.ProgressListenerTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.ParameterParserTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.SizesTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.StreamingTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,34.580,6,"['org.apache.commons.fileupload2.FileItemHeadersTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,10
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,32.071,5,"['org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,20
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,31.302,3,"['org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,30
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,30.130,2,"['org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,35
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,29.223,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()'],commons-fileupload,40
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,32.491,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()'],commons-fileupload,45
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,35.845,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()'],commons-fileupload,50
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,34.957,13,"['org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.SizesTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.StreamingTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.ParameterParserTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,3276ef09aa5a5e9bc1c4cbb59d4f68f4ff78034e,BUILD SUCCESS,38.273,4,"['org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroisasntMutant_OD_IVD_Victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroisasntMutant_OD_IVD_Victim()']",commons-fileupload,10
