Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,35.893,13,"['org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_FPD_victim()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,39.272,6,"['org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_FPD_victim()']",commons-fileupload,10
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,42.311,5,"['org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_FPD_victim()']",commons-fileupload,20
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,43.130,3,"['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_FPD_victim()']",commons-fileupload,30
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,46.497,2,"['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()']",commons-fileupload,35
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,45.807,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()'],commons-fileupload,40
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,44.619,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()'],commons-fileupload,45
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,42.370,1,['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()'],commons-fileupload,50
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,41.667,13,"['org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_FPD_victim()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,6ffe327f9eedf6b631018b5aede4aa9fc9416e76,BUILD SUCCESS,40.791,4,"['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_FPD_victim()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_FPD_victim()']",commons-fileupload,10
