Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,47.164,13,"['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,46.785,7,"['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,10
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,44.545,4,"['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,20
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,43.461,2,"['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,30
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,43.003,1,['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-fileupload,35
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,42.268,1,['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-fileupload,40
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,44.200,1,['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-fileupload,45
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,44.043,1,['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()'],commons-fileupload,50
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,42.466,13,"['org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,95b34a6ad2de274b746b3530cf1ffb4baa7527fa,BUILD SUCCESS,43.057,3,"['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",commons-fileupload,10
