Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,40.069,13,"['org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,42.527,4,"['org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-fileupload,10
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,44.313,3,"['org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-fileupload,20
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,46.297,1,['org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-fileupload,30
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,45.761,1,['org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-fileupload,35
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,43.907,1,['org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()'],commons-fileupload,40
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,42.342,0,[],commons-fileupload,45
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,41.883,0,[],commons-fileupload,50
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,42.061,13,"['org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.portlet.PortletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.ParameterParserTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.FileItemHeadersTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-fileupload,0
commons-fileupload,a00263bb327a01243d84cc5f0afdaf02005805f6,d3d0940860373f00a2051ad338f878686efe39ce,BUILD SUCCESS,44.189,7,"['org.apache.commons.fileupload2.StreamingTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.MultipartStreamTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.SizesTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.servlet.ServletFileUploadTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()', 'org.apache.commons.fileupload2.ProgressListenerTest#CroissantMutant_OD_CSD_victimCaffeineCDMO()']",commons-fileupload,10
