Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:27,21,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.GraphSerializationTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.TarjanTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.PrimTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:17,10,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.GraphSerializationTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,10
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:17,5,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:19,4,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:23,4,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:18,4,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:16,3,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:19,2,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:17,23,"['org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.TarjanTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.PrimTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.GraphSerializationTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d85ed76891a7e40b9c928f968b1c5428f8fae621,BUILD SUCCESS,01:22,11,"['org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.spanning.PrimTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_RA_brittle']",commons-graph,10
